zone_id,hour_of_day,day_of_week,vessel_count,avg_draft_m,weather_wind_knots,weather_visibility_nm,tide_height_m,quay_crane_utilization,yard_occupancy_pct,congestion_index
A,6,3,7,14.88,14.8,9.7,2.68,0.435,0.565,48.21
A,11,1,2,15.64,19.4,4.1,2.2,0.705,0.331,38.83
A,18,3,18,14.97,13.6,6.4,2.54,0.416,0.465,57.65
A,6,3,8,14.49,11.1,8.4,3.43,0.314,0.265,36.82
A,17,1,3,13.25,13.9,8.2,4.06,0.537,0.819,55.71
A,23,1,7,15.0,7.0,5.2,3.15,0.05,0.317,27.41
A,10,2,13,15.62,7.6,6.8,1.54,0.475,0.632,73.58
A,23,4,9,16.13,12.2,9.7,4.27,0.459,0.445,50.17
A,6,2,2,15.49,13.3,6.8,4.19,0.425,0.502,32.68
A,10,4,8,13.9,20.4,8.2,4.71,0.457,0.521,51.91
A,0,0,6,12.74,14.9,8.1,0.9,0.195,0.391,45.0
A,11,6,9,13.82,2.8,10.3,2.27,0.652,0.401,55.1
A,4,0,7,14.91,12.1,7.0,3.57,0.525,0.587,48.91
A,22,3,6,13.67,18.6,6.1,3.15,0.322,0.376,37.48
A,8,3,16,14.6,9.9,9.4,4.18,0.399,0.573,57.46
A,8,0,11,11.54,16.4,9.5,3.43,0.356,0.327,47.93
A,15,1,10,14.95,13.1,8.6,2.54,0.614,0.398,55.17
A,19,5,12,15.96,14.3,9.4,3.52,0.761,0.414,62.89
A,15,4,12,13.35,8.0,5.0,4.26,0.615,0.55,66.53
A,11,2,6,13.57,20.0,7.0,3.21,0.463,0.674,56.67
A,4,3,4,15.67,13.0,7.2,2.95,0.316,0.436,34.08
A,2,3,6,15.43,21.7,6.7,3.44,0.274,0.201,31.33
A,7,5,11,13.53,21.8,7.6,4.39,0.307,0.626,57.15
A,22,1,8,14.81,12.8,9.4,3.83,0.384,0.486,47.99
A,11,2,7,12.7,13.9,5.6,5.4,0.596,0.276,39.67
A,21,0,4,14.1,27.3,7.8,2.4,0.256,0.376,38.21
A,14,2,14,15.49,12.8,8.5,2.47,0.389,0.602,58.56
A,4,1,5,16.49,10.4,6.8,5.14,0.073,0.399,29.86
A,15,4,11,16.48,5.4,11.6,4.59,0.562,0.415,57.1
A,11,1,12,15.22,9.5,2.9,2.84,0.946,0.563,78.91
A,12,3,12,14.68,23.0,8.7,2.06,0.567,0.525,65.42
A,11,2,12,15.77,8.5,5.6,2.74,0.284,0.487,53.47
A,7,4,8,15.52,15.4,6.0,3.6,0.412,0.57,52.37
A,9,4,12,15.23,12.5,7.8,2.46,0.717,0.639,68.57
A,2,0,9,11.8,2.0,7.3,3.63,0.222,0.335,42.39
